Nome,Quantita,Unità di misura
Prezzemolo fresco o secco tritato,0,Cucchiaino
Farina all'occorrenza,0,Unità
Lievito istantaneo per torte salate (circa mezza bustina),0,g
Salsa di soia con ridotto apporto di sodio,0,Cucchiai
Finocchio,0,Unità
Formaggio tipo toma,0,g
Cavoletti di Bruxelles,0,Unità
Miele di acacia,0,Cucchiai
Formaggio Robiola,0,Cucchiai
Burro fuso raffreddato,0,g
Pistacchi tritati,0,g
Noci del Brasile tritate,0,g
Nocciola tritate,0,g
Parmigiano Grana Padano,0,g
Pasta sfoglia confezioni rettangolari,0,Unità
Formaggio stracchino,0,g
Pecorino Romano grattugiato,0,Cucchiai
Funghi misti,0,g
Formaggio robiola,0,g
Mozarella,0,g
Olio  Di Semi Di Arachide per friggere,0,Unità
Farina di semola rimacinata di grano duro,0,g
Acqua a temperatura ambiente,0,g
Lievito di birra liofilizzato,0,Cucchiaino
Pomodori ciliegia,0,Unità
Salame piccante,0,Unità
Oliva nere secche,0,Manciata
Olio Extravergine D'Oliva,0,Unità
Spinaci bolliti e strizzati,0,g
Uova grandi,0,Unità
Parmigiano Grana Padano grattugiato,0,g
Formaggio a cubetti,0,g
Speck a cubetti,0,g
Parmigiano Reggiano grattugiato,0,g
Colla di pesce,0,g
Mandorle pelate,0,g
Pasta sfoglia integrale,0,g
Formaggio Robiola o altro spalmabile,0,g
"Tacchino il petto, arrosto",0,g
Noci tritate,0,g
Formaggio italico grattugiato,0,g
Piselli (freschi o surgelati),0,g
Stoccafisso già ammollato,0,g
Olio di arachidi o di girasole,0,Unità
Papavero semi,0,g
Cotechino precotto,0,Unità
Lenticchie già cotte in padella con aromi,0,g
Latte fresco intero,0,ml
Formaggio spalmabile tipo Philadelphia,0,g
Radicchio di Chioggia IGP,0,Cespo
Aceto fi mela,0,ml
Mela Pink Lady,0,Unità
Mela Granny Smith,0,Unità
Salmone fresco,0,g
Aneto,0,Unità
Panettone salato,0,Unità
Salmone mousse,0,g
Pane ai 5 cereali,0,Fetta
Mandorla in lamelle,0,Cucchiaio
Pane casereccio raffremo,0,Fette
Olio di arachidi,0,lt
Vino,0,Cucchiai
Lievito vanigliato per dolci,0,Pizzico
Marmellata,0,g
Pane grattugiato,0,Cucchiai
Sarda,0,Unità
Sedano rapa,0,Fetta
Pomodori semisecchi,0,Unità
Gamberone sgusciati,0,Unità
Lenticchie,0,Unità
Curcuma,0,Cucchiai
Pesto,0,Cucchiai
Burro morbido,0,g
Salsicce,0,g
Carciofo romanesco,0,Unità
Mais in chicchi per pop corn,0,g
Sciroppo d'acero,0,ml
Formaggio tipo Philadelphia,0,g
Merluzzo in filetti,0,g
Peperoncino verde piccante,0,Unità
Kaffir,0,Foglia
Polenta ben soda,0,g
Cavoli cappuccio rosso,0,g
Castagna lesse,0,Unità
Patate grosse,0,Scatoletta
Olio extravergine d oliva,0,Unità
Farina di grano duro,0,g
Lievito di birra  fresco,0,g
Pasta all'uovo,0,g
Yogurt greco al naturale,0,Cucchiai
Piselli fini surgelati,0,g
Scamorza fresca,0,g
Besciamella,0,ml
Carne macinata di agnello,0,g
Grana Padano grattugiato,0,Cucchiai
Carne macinato,0,g
Pane mollica rafferma,0,g
Speck a fette,0,g
Bieta,0,g
Caciotta,0,g
Mozzarella per pizza,0,g
